,Beta2Basic_noDR
cell_1,0
cell_2,0
cell_3,0
cell_4,0
cell_5,0
cell_6,0
cell_7,0
cell_8,0
cell_9,0
cell_10,0
cell_11,0
cell_12,0
cell_13,0
cell_14,0
cell_15,0
cell_16,0
cell_17,0
cell_18,0
cell_19,2
cell_20,0
cell_21,0
cell_22,0
cell_23,0
cell_24,2
cell_25,0
cell_26,0
cell_27,0
cell_28,0
cell_29,0
cell_30,0
cell_31,0
cell_32,0
cell_33,0
cell_34,0
cell_35,0
cell_36,0
cell_37,0
cell_38,0
cell_39,0
cell_40,0
cell_41,0
cell_42,0
cell_43,0
cell_44,0
cell_45,0
cell_46,0
cell_47,0
cell_48,0
cell_49,0
cell_50,0
cell_51,0
cell_52,0
cell_53,0
cell_54,0
cell_55,0
cell_56,0
cell_57,0
cell_58,0
cell_59,0
cell_60,0
cell_61,0
cell_62,0
cell_63,0
cell_64,0
cell_65,0
cell_66,0
cell_67,0
cell_68,0
cell_69,0
cell_70,0
cell_71,0
cell_72,0
cell_73,0
cell_74,0
cell_75,0
cell_76,0
cell_77,0
cell_78,0
cell_79,0
cell_80,0
cell_81,0
cell_82,0
cell_83,0
cell_84,0
cell_85,0
cell_86,0
cell_87,0
cell_88,0
cell_89,0
cell_90,0
cell_91,2
cell_92,0
cell_93,0
cell_94,0
cell_95,0
cell_96,0
cell_97,0
cell_98,0
cell_99,0
cell_100,0
cell_101,0
cell_102,0
cell_103,0
cell_104,0
cell_105,0
cell_106,0
cell_107,0
cell_108,0
cell_109,0
cell_110,0
cell_111,0
cell_112,0
cell_113,0
cell_114,0
cell_115,0
cell_116,0
cell_117,0
cell_118,0
cell_119,0
cell_120,0
cell_121,0
cell_122,0
cell_123,0
cell_124,0
cell_125,0
cell_126,0
cell_127,0
cell_128,0
cell_129,0
cell_130,0
cell_131,0
cell_132,0
cell_133,0
cell_134,0
cell_135,0
cell_136,0
cell_137,0
cell_138,0
cell_139,0
cell_140,0
cell_141,0
cell_142,0
cell_143,0
cell_144,0
cell_145,0
cell_146,0
cell_147,0
cell_148,0
cell_149,0
cell_150,0
cell_151,0
cell_152,0
cell_153,0
cell_154,0
cell_155,0
cell_156,0
cell_157,0
cell_158,0
cell_159,2
cell_160,2
cell_161,0
cell_162,0
cell_163,2
cell_164,2
cell_165,2
cell_166,2
cell_167,0
cell_168,2
cell_169,2
cell_170,2
cell_171,2
cell_172,2
cell_173,2
cell_174,2
cell_175,2
cell_176,2
cell_177,2
cell_178,2
cell_179,2
cell_180,2
cell_181,2
cell_182,2
cell_183,2
cell_184,2
cell_185,2
cell_186,2
cell_187,2
cell_188,2
cell_189,2
cell_190,2
cell_191,2
cell_192,2
cell_193,2
cell_194,2
cell_195,2
cell_196,2
cell_197,2
cell_198,2
cell_199,2
cell_200,2
cell_201,2
cell_202,2
cell_203,2
cell_204,2
cell_205,2
cell_206,2
cell_207,2
cell_208,2
cell_209,2
cell_210,2
cell_211,2
cell_212,2
cell_213,2
cell_214,2
cell_215,2
cell_216,2
cell_217,2
cell_218,2
cell_219,2
cell_220,2
cell_221,2
cell_222,0
cell_223,2
cell_224,2
cell_225,2
cell_226,2
cell_227,2
cell_228,2
cell_229,0
cell_230,2
cell_231,2
cell_232,0
cell_233,2
cell_234,2
cell_235,2
cell_236,2
cell_237,2
cell_238,2
cell_239,2
cell_240,2
cell_241,2
cell_242,2
cell_243,2
cell_244,2
cell_245,2
cell_246,2
cell_247,2
cell_248,2
cell_249,2
cell_250,2
cell_251,2
cell_252,2
cell_253,2
cell_254,2
cell_255,0
cell_256,2
cell_257,2
cell_258,2
cell_259,2
cell_260,2
cell_261,2
cell_262,2
cell_263,2
cell_264,2
cell_265,2
cell_266,2
cell_267,2
cell_268,0
cell_269,2
cell_270,2
cell_271,2
cell_272,2
cell_273,2
cell_274,2
cell_275,2
cell_276,2
cell_277,2
cell_278,2
cell_279,0
cell_280,2
cell_281,2
cell_282,2
cell_283,2
cell_284,2
cell_285,2
cell_286,2
cell_287,2
cell_288,2
cell_289,2
cell_290,2
cell_291,2
cell_292,2
cell_293,2
cell_294,2
cell_295,2
cell_296,2
cell_297,2
cell_298,2
cell_299,2
cell_300,2
cell_301,2
cell_302,2
cell_303,0
cell_304,2
cell_305,2
cell_306,2
cell_307,0
cell_308,2
cell_309,2
cell_310,2
cell_311,2
cell_312,1
cell_313,1
cell_314,1
cell_315,1
cell_316,1
cell_317,1
cell_318,1
cell_319,1
cell_320,1
cell_321,1
cell_322,1
cell_323,1
cell_324,1
cell_325,1
cell_326,1
cell_327,1
cell_328,1
cell_329,1
cell_330,1
cell_331,1
cell_332,1
cell_333,1
cell_334,1
cell_335,1
cell_336,1
cell_337,1
cell_338,1
cell_339,1
cell_340,1
cell_341,1
cell_342,1
cell_343,1
cell_344,1
cell_345,1
cell_346,1
cell_347,1
cell_348,1
cell_349,1
cell_350,1
cell_351,1
cell_352,1
cell_353,1
cell_354,1
cell_355,1
cell_356,1
cell_357,1
cell_358,1
cell_359,1
cell_360,1
cell_361,1
cell_362,1
cell_363,1
cell_364,1
cell_365,1
cell_366,1
cell_367,1
cell_368,1
cell_369,1
cell_370,1
cell_371,1
cell_372,1
cell_373,1
cell_374,1
cell_375,1
cell_376,1
cell_377,1
cell_378,1
cell_379,1
cell_380,1
cell_381,1
cell_382,1
cell_383,1
cell_384,1
cell_385,1
cell_386,1
cell_387,1
cell_388,1
cell_389,1
cell_390,1
cell_391,1
cell_392,1
cell_393,1
cell_394,1
cell_395,1
cell_396,1
cell_397,1
cell_398,1
cell_399,1
cell_400,1
cell_401,1
cell_402,1
cell_403,1
cell_404,1
cell_405,1
cell_406,1
cell_407,1
cell_408,1
cell_409,1
cell_410,1
cell_411,1
cell_412,1
cell_413,1
cell_414,1
cell_415,2
cell_416,1
cell_417,1
cell_418,1
cell_419,1
cell_420,1
cell_421,1
cell_422,1
cell_423,1
cell_424,1
cell_425,1
cell_426,1
cell_427,1
cell_428,1
cell_429,1
cell_430,1
cell_431,1
cell_432,1
cell_433,1
cell_434,1
cell_435,1
cell_436,1
cell_437,1
cell_438,1
cell_439,1
cell_440,1
cell_441,1
cell_442,1
cell_443,1
cell_444,1
cell_445,1
cell_446,1
cell_447,1
cell_448,1
cell_449,1
cell_450,1
cell_451,1
cell_452,1
cell_453,1
cell_454,1
cell_455,1
cell_456,1
cell_457,1
cell_458,1
cell_459,1
cell_460,1
cell_461,1
cell_462,1
cell_463,1
cell_464,1
cell_465,1
cell_466,1
cell_467,1
cell_468,1
cell_469,1
cell_470,1
cell_471,1
cell_472,1
cell_473,1
