,RNAMix1Basic_noDR
cell_1,2
cell_2,3
cell_3,1
cell_4,3
cell_5,3
cell_6,1
cell_7,3
cell_8,3
cell_9,1
cell_10,1
cell_11,0
cell_12,1
cell_13,3
cell_14,3
cell_15,3
cell_16,3
cell_17,3
cell_18,3
cell_19,3
cell_20,3
cell_21,1
cell_22,1
cell_23,1
cell_24,1
cell_25,1
cell_26,3
cell_27,5
cell_28,1
cell_29,1
cell_30,1
cell_31,3
cell_32,3
cell_33,3
cell_34,3
cell_35,3
cell_36,1
cell_37,1
cell_38,1
cell_39,1
cell_40,1
cell_41,1
cell_42,1
cell_43,1
cell_44,1
cell_45,1
cell_46,3
cell_47,1
cell_48,1
cell_49,1
cell_50,1
cell_51,3
cell_52,3
cell_53,3
cell_54,3
cell_55,3
cell_56,3
cell_57,1
cell_58,3
cell_59,1
cell_60,3
cell_61,1
cell_62,1
cell_63,1
cell_64,1
cell_65,1
cell_66,3
cell_67,1
cell_68,1
cell_69,3
cell_70,1
cell_71,3
cell_72,3
cell_73,3
cell_74,3
cell_75,3
cell_76,3
cell_77,1
cell_78,1
cell_79,6
cell_80,6
cell_81,6
cell_82,6
cell_83,6
cell_84,6
cell_85,6
cell_86,6
cell_87,6
cell_88,6
cell_89,6
cell_90,6
cell_91,6
cell_92,5
cell_93,5
cell_94,1
cell_95,1
cell_96,5
cell_97,6
cell_98,6
cell_99,6
cell_100,6
cell_101,6
cell_102,6
cell_103,6
cell_104,6
cell_105,6
cell_106,6
cell_107,6
cell_108,6
cell_109,6
cell_110,5
cell_111,5
cell_112,5
cell_113,5
cell_114,0
cell_115,0
cell_116,0
cell_117,0
cell_118,0
cell_119,0
cell_120,0
cell_121,0
cell_122,0
cell_123,0
cell_124,0
cell_125,0
cell_126,0
cell_127,0
cell_128,0
cell_129,0
cell_130,0
cell_131,0
cell_132,0
cell_133,0
cell_134,2
cell_135,2
cell_136,2
cell_137,2
cell_138,2
cell_139,2
cell_140,2
cell_141,2
cell_142,2
cell_143,2
cell_144,2
cell_145,2
cell_146,2
cell_147,2
cell_148,2
cell_149,2
cell_150,2
cell_151,2
cell_152,2
cell_153,2
cell_154,2
cell_155,2
cell_156,2
cell_157,2
cell_158,2
cell_159,2
cell_160,2
cell_161,2
cell_162,2
cell_163,2
cell_164,2
cell_165,2
cell_166,2
cell_167,2
cell_168,2
cell_169,2
cell_170,2
cell_171,2
cell_172,2
cell_173,4
cell_174,2
cell_175,1
cell_176,5
cell_177,5
cell_178,5
cell_179,5
cell_180,5
cell_181,5
cell_182,3
cell_183,5
cell_184,5
cell_185,6
cell_186,6
cell_187,5
cell_188,1
cell_189,5
cell_190,5
cell_191,5
cell_192,5
cell_193,5
cell_194,5
cell_195,1
cell_196,5
cell_197,5
cell_198,5
cell_199,5
cell_200,5
cell_201,6
cell_202,5
cell_203,3
cell_204,5
cell_205,6
cell_206,5
cell_207,5
cell_208,0
cell_209,5
cell_210,5
cell_211,1
cell_212,1
cell_213,5
cell_214,0
cell_215,0
cell_216,0
cell_217,0
cell_218,0
cell_219,0
cell_220,0
cell_221,0
cell_222,0
cell_223,1
cell_224,1
cell_225,0
cell_226,0
cell_227,1
cell_228,0
cell_229,0
cell_230,0
cell_231,0
cell_232,0
cell_233,0
cell_234,0
cell_235,0
cell_236,0
cell_237,0
cell_238,0
cell_239,0
cell_240,0
cell_241,0
cell_242,0
cell_243,0
cell_244,0
cell_245,0
cell_246,0
cell_247,0
cell_248,3
cell_249,0
cell_250,3
cell_251,0
cell_252,0
cell_253,0
cell_254,0
cell_255,0
cell_256,0
cell_257,0
cell_258,4
cell_259,4
cell_260,4
cell_261,4
cell_262,4
cell_263,4
cell_264,4
cell_265,4
cell_266,4
cell_267,4
cell_268,4
cell_269,4
cell_270,4
cell_271,4
cell_272,4
cell_273,4
cell_274,4
cell_275,4
cell_276,4
cell_277,4
cell_278,4
cell_279,4
cell_280,4
cell_281,4
cell_282,4
cell_283,4
cell_284,4
cell_285,4
cell_286,4
cell_287,4
cell_288,4
cell_289,4
cell_290,4
cell_291,4
cell_292,4
cell_293,4
cell_294,4
cell_295,4
cell_296,4
